RECORD,SPECIES,PRESENCE,CAMS,SITE,MONTH,DATE,DAY,YEAR,ORDINAL.DATE,ALL.RESTS,SEASON,WINTER.DAY,SPRING.DAY,WINT.SPR.DAY,DATE.CYCLE
1251,NO,0,,GORDON,3,31/03/2016,31,16,91,0,SPRING,NA,31,31,0
1252,NO,0,,GORDON,4,01/04/2016,1,16,92,0,SPRING,NA,32,32,0
1253,NO,0,,GORDON,4,02/04/2016,2,16,93,0,SPRING,NA,33,33,0
1254,NO,0,,GORDON,4,03/04/2016,3,16,94,0,SPRING,NA,34,34,0
1255,O,1,,GORDON,4,04/04/2016,4,16,95,0,SPRING,NA,35,35,0
1256,NO,0,,GORDON,4,05/04/2016,5,16,96,0,SPRING,NA,36,36,0
1257,NO,0,,GORDON,4,06/04/2016,6,16,97,0,SPRING,NA,37,37,0
1258,O,1,,GORDON,4,07/04/2016,7,16,98,0,SPRING,NA,38,38,0
1259,NO,0,,GORDON,4,08/04/2016,8,16,99,0,SPRING,NA,39,39,0
1260,NO,0,,GORDON,4,09/04/2016,9,16,100,0,SPRING,NA,40,40,0
1261,NO,0,,GORDON,4,10/04/2016,10,16,101,0,SPRING,NA,41,41,0
1262,NO,0,,GORDON,4,11/04/2016,11,16,102,0,SPRING,NA,42,42,0
1263,NO,0,,GORDON,4,12/04/2016,12,16,103,0,SPRING,NA,43,43,0
1264,O,1,,GORDON,4,13/04/2016,13,16,104,0,SPRING,NA,44,44,0
1266,NO,0,,GORDON,4,14/04/2016,14,16,105,0,SPRING,NA,45,45,0
1267,NO,0,,GORDON,4,15/04/2016,15,16,106,0,SPRING,NA,46,46,0
1268,NO,0,,GORDON,4,16/04/2016,16,16,107,0,SPRING,NA,47,47,0
1269,NO,0,,GORDON,4,17/04/2016,17,16,108,0,SPRING,NA,48,48,0
1270,NO,0,,GORDON,4,18/04/2016,18,16,109,0,SPRING,NA,49,49,0
1271,NO,0,,GORDON,4,19/04/2016,19,16,110,0,SPRING,NA,50,50,0
1272,NO,0,,GORDON,4,20/04/2016,20,16,111,0,SPRING,NA,51,51,0
1273,NO,0,,GORDON,4,21/04/2016,21,16,112,0,SPRING,NA,52,52,0
1274,NO,0,,GORDON,4,22/04/2016,22,16,113,0,SPRING,NA,53,53,0
1275,NO,0,,GORDON,4,23/04/2016,23,16,114,0,SPRING,NA,54,54,0
1276,NO,0,,GORDON,4,24/04/2016,24,16,115,0,SPRING,NA,55,55,0
1277,NO,0,,GORDON,4,25/04/2016,25,16,116,0,SPRING,NA,56,56,0
1278,NO,0,,GORDON,4,26/04/2016,26,16,117,0,SPRING,NA,57,57,0
1279,O,1,,GORDON,4,27/04/2016,27,16,118,0,SPRING,NA,58,58,0
1280,O,1,,GORDON,4,28/04/2016,28,16,119,0,SPRING,NA,59,59,0
1282,NO,0,,GORDON,4,29/04/2016,29,16,120,0,SPRING,NA,60,60,0
1283,O,1,,GORDON,4,30/04/2016,30,16,121,0,SPRING,NA,61,61,0
1284,CAMS.DEFUNCT,GAP,,GORDON,5,01/05/2016,1,16,122,0,SPRING,NA,62,62,0
1285,CAMS.DEFUNCT,GAP,,GORDON,5,02/05/2016,2,16,123,0,SPRING,NA,63,63,0
1286,CAMS.DEFUNCT,GAP,,GORDON,5,03/05/2016,3,16,124,0,SPRING,NA,64,64,0
1287,CAMS.DEFUNCT,GAP,,GORDON,5,04/05/2016,4,16,125,0,SPRING,NA,65,65,0
1288,CAMS.DEFUNCT,GAP,,GORDON,5,05/05/2016,5,16,126,0,SPRING,NA,66,66,0
1289,CAMS.DEFUNCT,GAP,,GORDON,5,06/05/2016,6,16,127,0,SPRING,NA,67,67,0
1290,CAMS.DEFUNCT,GAP,,GORDON,5,07/05/2016,7,16,128,0,SPRING,NA,68,68,0
1291,CAMS.DEFUNCT,GAP,,GORDON,5,08/05/2016,8,16,129,0,SPRING,NA,69,69,0
1292,CAMS.DEFUNCT,GAP,,GORDON,5,09/05/2016,9,16,130,0,SPRING,NA,70,70,0
1293,CAMS.DEFUNCT,GAP,,GORDON,5,10/05/2016,10,16,131,0,SPRING,NA,71,71,0
1294,CAMS.DEFUNCT,GAP,,GORDON,5,11/05/2016,11,16,132,0,SPRING,NA,72,72,0
1295,CAMS.DEFUNCT,GAP,,GORDON,5,12/05/2016,12,16,133,0,SPRING,NA,73,73,0
1296,CAMS.DEFUNCT,GAP,,GORDON,5,13/05/2016,13,16,134,0,SPRING,NA,74,74,0
1297,CAMS.DEFUNCT,GAP,,GORDON,5,14/05/2016,14,16,135,0,SPRING,NA,75,75,0
1298,CAMS.DEFUNCT,GAP,,GORDON,5,15/05/2016,15,16,136,0,SPRING,NA,76,76,0
1299,CAMS.DEFUNCT,GAP,,GORDON,5,16/05/2016,16,16,137,0,SPRING,NA,77,77,0
1300,CAMS.DEFUNCT,GAP,,GORDON,5,17/05/2016,17,16,138,0,SPRING,NA,78,78,0
1301,CAMS.DEFUNCT,GAP,,GORDON,5,18/05/2016,18,16,139,0,SPRING,NA,79,79,0
1302,CAMS.DEFUNCT,GAP,,GORDON,5,19/05/2016,19,16,140,0,SPRING,NA,80,80,0
1303,NO,0,,GORDON,5,20/05/2016,20,16,141,0,SPRING,NA,81,81,0
1304,NO,0,,GORDON,5,21/05/2016,21,16,142,0,SPRING,NA,82,82,0
1305,NO,0,,GORDON,5,22/05/2016,22,16,143,0,SPRING,NA,83,83,0
1306,NO,0,,GORDON,5,23/05/2016,23,16,144,0,SPRING,NA,84,84,0
1307,NO,0,,GORDON,5,24/05/2016,24,16,145,0,SPRING,NA,85,85,0
1308,NO,0,,GORDON,5,25/05/2016,25,16,146,0,SPRING,NA,86,86,0
1309,O,1,,GORDON,5,26/05/2016,26,16,147,0,SPRING,NA,87,87,0
1310,NO,0,,GORDON,5,27/05/2016,27,16,148,0,SPRING,NA,88,88,0
1311,NO,0,,GORDON,5,28/05/2016,28,16,149,0,SPRING,NA,89,89,0
1312,NO,0,,GORDON,5,29/05/2016,29,16,150,0,SPRING,NA,90,90,0
1313,NO,0,,GORDON,5,30/05/2016,30,16,151,0,SPRING,NA,91,91,0
1314,NO,0,,GORDON,5,31/05/2016,31,16,152,0,SPRING,NA,92,92,0
1315,NO,0,,GORDON,6,01/06/2016,1,16,153,0,SUMMER,NA,NA,NA,0
1316,NO,0,,GORDON,6,02/06/2016,2,16,154,0,SUMMER,NA,NA,NA,0
1317,NO,0,,GORDON,6,03/06/2016,3,16,155,0,SUMMER,NA,NA,NA,0
1318,NO,0,,GORDON,6,04/06/2016,4,16,156,0,SUMMER,NA,NA,NA,0
1319,NO,0,,GORDON,6,05/06/2016,5,16,157,0,SUMMER,NA,NA,NA,0
1320,NO,0,,GORDON,6,06/06/2016,6,16,158,0,SUMMER,NA,NA,NA,0
1321,NO,0,,GORDON,6,07/06/2016,7,16,159,0,SUMMER,NA,NA,NA,0
1322,NO,0,,GORDON,6,08/06/2016,8,16,160,0,SUMMER,NA,NA,NA,0
1323,NO,0,,GORDON,6,09/06/2016,9,16,161,0,SUMMER,NA,NA,NA,0
1324,NO,0,,GORDON,6,10/06/2016,10,16,162,0,SUMMER,NA,NA,NA,0
1325,NO,0,,GORDON,6,11/06/2016,11,16,163,0,SUMMER,NA,NA,NA,0
1326,NO,0,,GORDON,6,12/06/2016,12,16,164,0,SUMMER,NA,NA,NA,0
1327,NO,0,,GORDON,6,13/06/2016,13,16,165,0,SUMMER,NA,NA,NA,0
1328,NO,0,,GORDON,6,14/06/2016,14,16,166,0,SUMMER,NA,NA,NA,0
1329,NO,0,,GORDON,6,15/06/2016,15,16,167,0,SUMMER,NA,NA,NA,0
1330,NO,0,,GORDON,6,16/06/2016,16,16,168,0,SUMMER,NA,NA,NA,0
1331,NO,0,,GORDON,6,17/06/2016,17,16,169,0,SUMMER,NA,NA,NA,0
1332,NO,0,,GORDON,6,18/06/2016,18,16,170,0,SUMMER,NA,NA,NA,0
1333,NO,0,,GORDON,6,19/06/2016,19,16,171,0,SUMMER,NA,NA,NA,0
1334,NO,0,,GORDON,6,20/06/2016,20,16,172,0,SUMMER,NA,NA,NA,0
1335,NO,0,,GORDON,6,21/06/2016,21,16,173,0,SUMMER,NA,NA,NA,0
1336,NO,0,,GORDON,6,22/06/2016,22,16,174,0,SUMMER,NA,NA,NA,0
1337,NO,0,,GORDON,6,23/06/2016,23,16,175,0,SUMMER,NA,NA,NA,0
1338,NO,0,,GORDON,6,24/06/2016,24,16,176,0,SUMMER,NA,NA,NA,0
1339,NO,0,,GORDON,6,25/06/2016,25,16,177,0,SUMMER,NA,NA,NA,0
1340,NO,0,,GORDON,6,26/06/2016,26,16,178,0,SUMMER,NA,NA,NA,0
1341,NO,0,,GORDON,6,27/06/2016,27,16,179,0,SUMMER,NA,NA,NA,0
1342,NO,0,,GORDON,6,28/06/2016,28,16,180,0,SUMMER,NA,NA,NA,0
1343,NO,0,,GORDON,6,29/06/2016,29,16,181,0,SUMMER,NA,NA,NA,0
1344,NO,0,,GORDON,6,30/06/2016,30,16,182,0,SUMMER,NA,NA,NA,0
1345,NO,0,,GORDON,7,01/07/2016,1,16,183,0,SUMMER,NA,NA,NA,0
1346,NO,0,,GORDON,7,02/07/2016,2,16,184,0,SUMMER,NA,NA,NA,0
1347,NO,0,,GORDON,7,03/07/2016,3,16,185,0,SUMMER,NA,NA,NA,0
1348,NO,0,,GORDON,7,04/07/2016,4,16,186,0,SUMMER,NA,NA,NA,0
1349,NO,0,,GORDON,7,05/07/2016,5,16,187,0,SUMMER,NA,NA,NA,0
1350,NO,0,,GORDON,7,06/07/2016,6,16,188,0,SUMMER,NA,NA,NA,0
1351,NO,0,,GORDON,7,07/07/2016,7,16,189,0,SUMMER,NA,NA,NA,0
1352,NO,0,,GORDON,7,08/07/2016,8,16,190,0,SUMMER,NA,NA,NA,0
1353,NO,0,,GORDON,7,09/07/2016,9,16,191,0,SUMMER,NA,NA,NA,0
1354,NO,0,,GORDON,7,10/07/2016,10,16,192,0,SUMMER,NA,NA,NA,0
1355,NO,0,,GORDON,7,11/07/2016,11,16,193,0,SUMMER,NA,NA,NA,0
1356,NO,0,,GORDON,7,12/07/2016,12,16,194,0,SUMMER,NA,NA,NA,0
1357,NO,0,,GORDON,7,13/07/2016,13,16,195,0,SUMMER,NA,NA,NA,0
1358,NO,0,,GORDON,7,14/07/2016,14,16,196,0,SUMMER,NA,NA,NA,0
1359,NO,0,,GORDON,7,15/07/2016,15,16,197,0,SUMMER,NA,NA,NA,0
1360,NO,0,,GORDON,7,16/07/2016,16,16,198,0,SUMMER,NA,NA,NA,0
1361,NO,0,,GORDON,7,17/07/2016,17,16,199,0,SUMMER,NA,NA,NA,0
1362,NO,0,,GORDON,7,18/07/2016,18,16,200,0,SUMMER,NA,NA,NA,0
1363,NO,0,,GORDON,7,19/07/2016,19,16,201,0,SUMMER,NA,NA,NA,0
1364,NO,0,,GORDON,7,20/07/2016,20,16,202,0,SUMMER,NA,NA,NA,0
1365,NO,0,,GORDON,7,21/07/2016,21,16,203,0,SUMMER,NA,NA,NA,0
1366,NO,0,,GORDON,7,22/07/2016,22,16,204,0,SUMMER,NA,NA,NA,0
1367,NO,0,,GORDON,7,23/07/2016,23,16,205,0,SUMMER,NA,NA,NA,0
1368,NO,0,,GORDON,7,24/07/2016,24,16,206,0,SUMMER,NA,NA,NA,0
1369,NO,0,,GORDON,7,25/07/2016,25,16,207,0,SUMMER,NA,NA,NA,0
1370,NO,0,,GORDON,7,26/07/2016,26,16,208,0,SUMMER,NA,NA,NA,0
1371,NO,0,,GORDON,7,27/07/2016,27,16,209,0,SUMMER,NA,NA,NA,0
1372,NO,0,,GORDON,7,28/07/2016,28,16,210,0,SUMMER,NA,NA,NA,0
1373,NO,0,,GORDON,7,29/07/2016,29,16,211,0,SUMMER,NA,NA,NA,0
1374,NO,0,,GORDON,7,30/07/2016,30,16,212,0,SUMMER,NA,NA,NA,0
1375,NO,0,,GORDON,7,31/07/2016,31,16,213,0,SUMMER,NA,NA,NA,0
1376,NO,0,,GORDON,8,01/08/2016,1,16,214,0,SUMMER,NA,NA,NA,0
1377,NO,0,,GORDON,8,02/08/2016,2,16,215,0,SUMMER,NA,NA,NA,0
1378,NO,0,,GORDON,8,03/08/2016,3,16,216,0,SUMMER,NA,NA,NA,0
1379,NO,0,,GORDON,8,04/08/2016,4,16,217,0,SUMMER,NA,NA,NA,0
1380,NO,0,,GORDON,8,05/08/2016,5,16,218,0,SUMMER,NA,NA,NA,0
1381,NO,0,,GORDON,8,06/08/2016,6,16,219,0,SUMMER,NA,NA,NA,0
1382,NO,0,,GORDON,8,07/08/2016,7,16,220,0,SUMMER,NA,NA,NA,0
1383,NO,0,,GORDON,8,08/08/2016,8,16,221,0,SUMMER,NA,NA,NA,0
1384,NO,0,,GORDON,8,09/08/2016,9,16,222,0,SUMMER,NA,NA,NA,0
1385,NO,0,,GORDON,8,10/08/2016,10,16,223,0,SUMMER,NA,NA,NA,0
1386,NO,0,,GORDON,8,11/08/2016,11,16,224,0,SUMMER,NA,NA,NA,0
1387,NO,0,,GORDON,8,12/08/2016,12,16,225,0,SUMMER,NA,NA,NA,0
1388,NO,0,,GORDON,8,13/08/2016,13,16,226,0,SUMMER,NA,NA,NA,0
1389,NO,0,,GORDON,8,14/08/2016,14,16,227,0,SUMMER,NA,NA,NA,0
1390,NO,0,,GORDON,8,15/08/2016,15,16,228,0,SUMMER,NA,NA,NA,0
1391,NO,0,,GORDON,8,16/08/2016,16,16,229,0,SUMMER,NA,NA,NA,0
1392,NO,0,,GORDON,8,17/08/2016,17,16,230,0,SUMMER,NA,NA,NA,0
1393,NO,0,,GORDON,8,18/08/2016,18,16,231,0,SUMMER,NA,NA,NA,0
1394,NO,0,,GORDON,8,19/08/2016,19,16,232,0,SUMMER,NA,NA,NA,0
1395,NO,0,,GORDON,8,20/08/2016,20,16,233,0,SUMMER,NA,NA,NA,0
1396,NO,0,,GORDON,8,21/08/2016,21,16,234,0,SUMMER,NA,NA,NA,0
1397,NO,0,,GORDON,8,22/08/2016,22,16,235,0,SUMMER,NA,NA,NA,0
1398,NO,0,,GORDON,8,23/08/2016,23,16,236,0,SUMMER,NA,NA,NA,0
1399,NO,0,,GORDON,8,24/08/2016,24,16,237,0,SUMMER,NA,NA,NA,0
1400,NO,0,,GORDON,8,25/08/2016,25,16,238,0,SUMMER,NA,NA,NA,0
1401,NO,0,,GORDON,8,26/08/2016,26,16,239,0,SUMMER,NA,NA,NA,0
1402,NO,0,,GORDON,8,27/08/2016,27,16,240,0,SUMMER,NA,NA,NA,0
1403,NO,0,,GORDON,8,28/08/2016,28,16,241,0,SUMMER,NA,NA,NA,0
1404,NO,0,,GORDON,8,29/08/2016,29,16,242,0,SUMMER,NA,NA,NA,0
1405,NO,0,,GORDON,8,30/08/2016,30,16,243,0,SUMMER,NA,NA,NA,0
1406,NO,0,,GORDON,8,31/08/2016,31,16,244,0,SUMMER,NA,NA,NA,0
1407,NO,0,,GORDON,9,01/09/2016,1,16,245,0,AUTUMN,NA,NA,NA,0
1408,NO,0,,GORDON,9,02/09/2016,2,16,246,0,AUTUMN,NA,NA,NA,0
1409,NO,0,,GORDON,9,03/09/2016,3,16,247,0,AUTUMN,NA,NA,NA,0
1410,NO,0,,GORDON,9,04/09/2016,4,16,248,0,AUTUMN,NA,NA,NA,0
1411,NO,0,,GORDON,9,05/09/2016,5,16,249,0,AUTUMN,NA,NA,NA,0
1412,NO,0,,GORDON,9,06/09/2016,6,16,250,0,AUTUMN,NA,NA,NA,0
1413,NO,0,,GORDON,9,07/09/2016,7,16,251,0,AUTUMN,NA,NA,NA,0
1414,NO,0,,GORDON,9,08/09/2016,8,16,252,0,AUTUMN,NA,NA,NA,0
1415,NO,0,,GORDON,9,09/09/2016,9,16,253,0,AUTUMN,NA,NA,NA,0
1416,NO,0,,GORDON,9,10/09/2016,10,16,254,0,AUTUMN,NA,NA,NA,0
1417,NO,0,,GORDON,9,11/09/2016,11,16,255,0,AUTUMN,NA,NA,NA,0
1418,NO,0,,GORDON,9,12/09/2016,12,16,256,0,AUTUMN,NA,NA,NA,0
1419,NO,0,,GORDON,9,13/09/2016,13,16,257,0,AUTUMN,NA,NA,NA,0
1420,NO,0,,GORDON,9,14/09/2016,14,16,258,0,AUTUMN,NA,NA,NA,0
1421,NO,0,,GORDON,9,15/09/2016,15,16,259,0,AUTUMN,NA,NA,NA,0
1422,NO,0,,GORDON,9,16/09/2016,16,16,260,0,AUTUMN,NA,NA,NA,0
1423,O,1,,GORDON,9,17/09/2016,17,16,261,0,AUTUMN,NA,NA,NA,0
1424,O,1,,GORDON,9,18/09/2016,18,16,262,0,AUTUMN,NA,NA,NA,0
1428,O,1,,GORDON,9,19/09/2016,19,16,263,0,AUTUMN,NA,NA,NA,0
1429,NO,0,,GORDON,9,20/09/2016,20,16,264,0,AUTUMN,NA,NA,NA,0
1430,NO,0,,GORDON,9,21/09/2016,21,16,265,0,AUTUMN,NA,NA,NA,0
1431,NO,0,,GORDON,9,22/09/2016,22,16,266,0,AUTUMN,NA,NA,NA,0
1432,NO,0,,GORDON,9,23/09/2016,23,16,267,0,AUTUMN,NA,NA,NA,0
1433,NO,0,,GORDON,9,24/09/2016,24,16,268,0,AUTUMN,NA,NA,NA,0
1434,NO,0,,GORDON,9,25/09/2016,25,16,269,0,AUTUMN,NA,NA,NA,0
1435,NO,0,,GORDON,9,26/09/2016,26,16,270,0,AUTUMN,NA,NA,NA,0
1436,NO,0,,GORDON,9,27/09/2016,27,16,271,0,AUTUMN,NA,NA,NA,0
1437,NO,0,,GORDON,9,28/09/2016,28,16,272,0,AUTUMN,NA,NA,NA,0
1438,NO,0,,GORDON,9,29/09/2016,29,16,273,0,AUTUMN,NA,NA,NA,0
1439,NO,0,,GORDON,9,30/09/2016,30,16,274,0,AUTUMN,NA,NA,NA,0
1440,NO,0,,GORDON,10,01/10/2016,1,16,275,0,AUTUMN,NA,NA,NA,0
1441,NO,0,,GORDON,10,02/10/2016,2,16,276,0,AUTUMN,NA,NA,NA,0
1442,NO,0,,GORDON,10,03/10/2016,3,16,277,0,AUTUMN,NA,NA,NA,0
1443,NO,0,,GORDON,10,04/10/2016,4,16,278,0,AUTUMN,NA,NA,NA,0
1444,NO,0,,GORDON,10,05/10/2016,5,16,279,0,AUTUMN,NA,NA,NA,0
1445,NO,0,,GORDON,10,06/10/2016,6,16,280,0,AUTUMN,NA,NA,NA,0
1446,REST,,,GORDON,10,07/10/2016,7,16,281,1,AUTUMN,NA,NA,NA,0
1448,NO,0,,GORDON,10,08/10/2016,8,16,282,0,AUTUMN,NA,NA,NA,0
1449,NO,0,,GORDON,10,09/10/2016,9,16,283,0,AUTUMN,NA,NA,NA,0
1450,O,1,,GORDON,10,10/10/2016,10,16,284,0,AUTUMN,NA,NA,NA,0
1451,NO,0,,GORDON,10,11/10/2016,11,16,285,0,AUTUMN,NA,NA,NA,0
1452,O,1,,GORDON,10,12/10/2016,12,16,286,0,AUTUMN,NA,NA,NA,0
1454,NO,0,,GORDON,10,13/10/2016,13,16,287,0,AUTUMN,NA,NA,NA,0
1455,O,1,,GORDON,10,14/10/2016,14,16,288,0,AUTUMN,NA,NA,NA,0
1457,NO,0,,GORDON,10,15/10/2016,15,16,289,0,AUTUMN,NA,NA,NA,0
1458,NO,0,,GORDON,10,16/10/2016,16,16,290,0,AUTUMN,NA,NA,NA,0
1459,NO,0,,GORDON,10,17/10/2016,17,16,291,0,AUTUMN,NA,NA,NA,0
1460,NO,0,,GORDON,10,18/10/2016,18,16,292,0,AUTUMN,NA,NA,NA,0
1461,NO,0,,GORDON,10,19/10/2016,19,16,293,0,AUTUMN,NA,NA,NA,0
1462,NO,0,,GORDON,10,20/10/2016,20,16,294,0,AUTUMN,NA,NA,NA,0
1463,O,1,,GORDON,10,21/10/2016,21,16,295,0,AUTUMN,NA,NA,NA,0
1464,NO,0,,GORDON,10,22/10/2016,22,16,296,0,AUTUMN,NA,NA,NA,0
1465,NO,0,,GORDON,10,23/10/2016,23,16,297,0,AUTUMN,NA,NA,NA,0
1466,NO,0,,GORDON,10,24/10/2016,24,16,298,0,AUTUMN,NA,NA,NA,0
1467,NO,0,,GORDON,10,25/10/2016,25,16,299,0,AUTUMN,NA,NA,NA,0
1468,NO,0,,GORDON,10,26/10/2016,26,16,300,0,AUTUMN,NA,NA,NA,0
1469,NO,0,,GORDON,10,27/10/2016,27,16,301,0,AUTUMN,NA,NA,NA,0
1470,O,1,,GORDON,10,28/10/2016,28,16,302,0,AUTUMN,NA,NA,NA,0
1472,O,1,,GORDON,10,29/10/2016,29,16,303,0,AUTUMN,NA,NA,NA,0
1474,NO,0,,GORDON,10,30/10/2016,30,16,304,0,AUTUMN,NA,NA,NA,0
1475,NO,0,,GORDON,10,31/10/2016,31,16,305,0,AUTUMN,NA,NA,NA,0
1476,NO,0,,GORDON,11,01/11/2016,1,16,306,0,AUTUMN,NA,NA,NA,0
1477,NO,0,,GORDON,11,02/11/2016,2,16,307,0,AUTUMN,NA,NA,NA,0
1478,NO,0,,GORDON,11,03/11/2016,3,16,308,0,AUTUMN,NA,NA,NA,0
1479,NO,0,,GORDON,11,04/11/2016,4,16,309,0,AUTUMN,NA,NA,NA,0
1480,O,1,,GORDON,11,05/11/2016,5,16,310,0,AUTUMN,NA,NA,NA,0
1482,NO,0,,GORDON,11,06/11/2016,6,16,311,0,AUTUMN,NA,NA,NA,0
1483,NO,0,,GORDON,11,07/11/2016,7,16,312,0,AUTUMN,NA,NA,NA,0
1484,NO,0,,GORDON,11,08/11/2016,8,16,313,0,AUTUMN,NA,NA,NA,0
1485,O,1,,GORDON,11,09/11/2016,9,16,314,0,AUTUMN,NA,NA,NA,0
1486,O,1,,GORDON,11,10/11/2016,10,16,315,0,AUTUMN,NA,NA,NA,0
1489,O,1,,GORDON,11,11/11/2016,11,16,316,0,AUTUMN,NA,NA,NA,0
1491,NO,0,,GORDON,11,12/11/2016,12,16,317,0,AUTUMN,NA,NA,NA,0
1492,O,1,,GORDON,11,13/11/2016,13,16,318,0,AUTUMN,NA,NA,NA,0
1494,NO,0,,GORDON,11,14/11/2016,14,16,319,0,AUTUMN,NA,NA,NA,0
1495,REST,,,GORDON,11,15/11/2016,15,16,320,1,AUTUMN,NA,NA,NA,0
1498,REST,,,GORDON,11,16/11/2016,16,16,321,1,AUTUMN,NA,NA,NA,0
1500,NO,0,,GORDON,11,17/11/2016,17,16,322,0,AUTUMN,NA,NA,NA,0
1501,NO,0,,GORDON,11,18/11/2016,18,16,323,0,AUTUMN,NA,NA,NA,0
1502,NO,0,,GORDON,11,19/11/2016,19,16,324,0,AUTUMN,NA,NA,NA,0
1503,REST,,,GORDON,11,20/11/2016,20,16,325,1,AUTUMN,NA,NA,NA,0
1504,REST,,,GORDON,11,21/11/2016,21,16,326,1,AUTUMN,NA,NA,NA,0
1506,REST,,,GORDON,11,22/11/2016,22,16,327,1,AUTUMN,NA,NA,NA,0
1510,NO,0,,GORDON,11,23/11/2016,23,16,328,0,AUTUMN,NA,NA,NA,0
1511,REST,,,GORDON,11,24/11/2016,24,16,329,1,AUTUMN,NA,NA,NA,0
1514,O,1,,GORDON,11,25/11/2016,25,16,330,0,AUTUMN,NA,NA,NA,0
1516,O,1,,GORDON,11,26/11/2016,26,16,331,0,AUTUMN,NA,NA,NA,0
1518,NO,0,,GORDON,11,27/11/2016,27,16,332,0,AUTUMN,NA,NA,NA,0
1519,O,1,,GORDON,11,28/11/2016,28,16,333,0,AUTUMN,NA,NA,NA,0
1520,NO,0,,GORDON,11,29/11/2016,29,16,334,0,AUTUMN,NA,NA,NA,0
1521,O,1,,GORDON,11,30/11/2016,30,16,335,0,AUTUMN,NA,NA,NA,0
1523,NO,0,1,GORDON,12,01/12/2016,1,16,336,0,WINTER,1,NA,1,1
1524,O,1,1,GORDON,12,02/12/2016,2,16,337,0,WINTER,2,NA,2,1
1527,REST,,1,GORDON,12,03/12/2016,3,16,338,1,WINTER,3,NA,3,1
1529,NO,0,1,GORDON,12,04/12/2016,4,16,339,0,WINTER,4,NA,4,1
1530,NO,0,1,GORDON,12,05/12/2016,5,16,340,0,WINTER,5,NA,5,1
1531,REST,,1,GORDON,12,06/12/2016,6,16,341,1,WINTER,6,NA,6,1
1532,NO,0,1,GORDON,12,07/12/2016,7,16,342,0,WINTER,7,NA,7,1
1533,NO,0,1,GORDON,12,08/12/2016,8,16,343,0,WINTER,8,NA,8,1
